image,label
images/AppleB/17.png,labels/AppleB/17.png
images/AppleB/19.png,labels/AppleB/19.png
images/AppleB/22.png,labels/AppleB/22.png
images/AppleB/25.png,labels/AppleB/25.png
images/AppleB/26.png,labels/AppleB/26.png
images/AppleB/32.png,labels/AppleB/32.png
images/AppleB/23.png,labels/AppleB/23.png
images/AppleB/35.png,labels/AppleB/35.png
images/AppleB/38.png,labels/AppleB/38.png
images/AppleB/28.png,labels/AppleB/28.png
images/AppleB/41.png,labels/AppleB/41.png
images/Pear/1_25.png,labels/Pear/1_25.png
images/Pear/1_31.png,labels/Pear/1_31.png
images/Pear/1_33.png,labels/Pear/1_33.png
images/Pear/1_43.png,labels/Pear/1_43.png
images/Pear/1_62.png,labels/Pear/1_62.png
images/Pear/1_66.png,labels/Pear/1_66.png
images/Pear/1_71.png,labels/Pear/1_71.png
images/Pear/2_14.png,labels/Pear/2_14.png
images/Pear/2_24.png,labels/Pear/2_24.png
images/Pear/2_28.png,labels/Pear/2_28.png
images/Pear/1_103.png,labels/Pear/1_103.png
images/Peach/16.png,labels/Peach/16.png
images/Peach/18.png,labels/Peach/18.png
images/Peach/22.png,labels/Peach/22.png
images/Peach/24.png,labels/Peach/24.png
images/Peach/28.png,labels/Peach/28.png
images/Peach/10.png,labels/Peach/10.png
images/Peach/26.png,labels/Peach/26.png
images/Peach/30.png,labels/Peach/30.png
images/Peach/4.png,labels/Peach/4.png
images/Peach/34.png,labels/Peach/34.png
images/Peach/41.png,labels/Peach/41.png
images/Peach/36.png,labels/Peach/36.png
images/Peach/54.png,labels/Peach/54.png
images/Peach/40.png,labels/Peach/40.png
images/Peach/6.png,labels/Peach/6.png
images/Peach/64.png,labels/Peach/64.png
images/Peach/44.png,labels/Peach/44.png
images/AppleA/251.png,labels/AppleA/251.png
images/AppleA/253.png,labels/AppleA/253.png
images/AppleA/254.png,labels/AppleA/254.png
images/AppleA/255.png,labels/AppleA/255.png
images/AppleA/256.png,labels/AppleA/256.png
images/AppleA/257.png,labels/AppleA/257.png
images/AppleA/258.png,labels/AppleA/258.png
images/AppleA/259.png,labels/AppleA/259.png
images/AppleA/261.png,labels/AppleA/261.png
images/AppleA/262.png,labels/AppleA/262.png
images/AppleA/264.png,labels/AppleA/264.png
images/AppleA/267.png,labels/AppleA/267.png
images/AppleA/268.png,labels/AppleA/268.png
images/AppleA/269.png,labels/AppleA/269.png
images/AppleA/272.png,labels/AppleA/272.png
images/AppleA/273.png,labels/AppleA/273.png
images/AppleA/277.png,labels/AppleA/277.png
images/AppleA/278.png,labels/AppleA/278.png
images/AppleA/279.png,labels/AppleA/279.png
images/AppleA/280.png,labels/AppleA/280.png
images/AppleA/281.png,labels/AppleA/281.png
images/AppleA/283.png,labels/AppleA/283.png
