image,label
images/AppleB/17.png,labels/AppleB/17.png
images/AppleB/19.png,labels/AppleB/19.png
images/AppleB/22.png,labels/AppleB/22.png
images/AppleB/25.png,labels/AppleB/25.png
images/AppleB/26.png,labels/AppleB/26.png
images/AppleB/32.png,labels/AppleB/32.png
images/Pear/1_25.png,labels/Pear/1_25.png
images/Pear/1_31.png,labels/Pear/1_31.png
images/Pear/1_33.png,labels/Pear/1_33.png
images/Pear/1_43.png,labels/Pear/1_43.png
images/Pear/1_62.png,labels/Pear/1_62.png
images/Pear/1_66.png,labels/Pear/1_66.png
images/Peach/16.png,labels/Peach/16.png
images/Peach/18.png,labels/Peach/18.png
images/Peach/22.png,labels/Peach/22.png
images/Peach/24.png,labels/Peach/24.png
images/Peach/28.png,labels/Peach/28.png
images/Peach/10.png,labels/Peach/10.png
images/Peach/26.png,labels/Peach/26.png
images/Peach/30.png,labels/Peach/30.png
images/Peach/4.png,labels/Peach/4.png
images/Peach/34.png,labels/Peach/34.png
images/AppleA/251.png,labels/AppleA/251.png
images/AppleA/253.png,labels/AppleA/253.png
images/AppleA/254.png,labels/AppleA/254.png
images/AppleA/255.png,labels/AppleA/255.png
images/AppleA/256.png,labels/AppleA/256.png
images/AppleA/257.png,labels/AppleA/257.png
images/AppleA/258.png,labels/AppleA/258.png
images/AppleA/259.png,labels/AppleA/259.png
images/AppleA/261.png,labels/AppleA/261.png
images/AppleA/262.png,labels/AppleA/262.png
images/AppleA/264.png,labels/AppleA/264.png
images/AppleA/267.png,labels/AppleA/267.png
images/AppleA/268.png,labels/AppleA/268.png
images/AppleA/269.png,labels/AppleA/269.png
images/AppleA/272.png,labels/AppleA/272.png
images/AppleA/273.png,labels/AppleA/273.png
images/AppleA/277.png,labels/AppleA/277.png
images/AppleA/278.png,labels/AppleA/278.png
images/AppleA/279.png,labels/AppleA/279.png
images/AppleA/280.png,labels/AppleA/280.png
images/AppleA/281.png,labels/AppleA/281.png
images/AppleA/283.png,labels/AppleA/283.png
images/AppleA/285.png,labels/AppleA/285.png
images/AppleA/287.png,labels/AppleA/287.png
images/AppleA/288.png,labels/AppleA/288.png
images/AppleA/289.png,labels/AppleA/289.png
images/AppleA/291.png,labels/AppleA/291.png
images/AppleA/292.png,labels/AppleA/292.png
images/AppleA/293.png,labels/AppleA/293.png
images/AppleA/294.png,labels/AppleA/294.png
images/AppleA/295.png,labels/AppleA/295.png
images/AppleA/297.png,labels/AppleA/297.png
images/AppleA/298.png,labels/AppleA/298.png
images/AppleA/299.png,labels/AppleA/299.png
images/AppleA/300.png,labels/AppleA/300.png
images/AppleA/301.png,labels/AppleA/301.png
images/AppleA/302.png,labels/AppleA/302.png
images/AppleA/303.png,labels/AppleA/303.png
images/AppleA/304.png,labels/AppleA/304.png
images/AppleA/305.png,labels/AppleA/305.png
images/AppleA/306.png,labels/AppleA/306.png
images/AppleA/307.png,labels/AppleA/307.png
images/AppleA/308.png,labels/AppleA/308.png
images/AppleA/309.png,labels/AppleA/309.png
images/AppleA/310.png,labels/AppleA/310.png
images/AppleA/313.png,labels/AppleA/313.png
images/AppleA/315.png,labels/AppleA/315.png
images/AppleA/320.png,labels/AppleA/320.png
images/AppleA/321.png,labels/AppleA/321.png
images/AppleA/322.png,labels/AppleA/322.png
